행정기관,총 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,여 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
대구광역시 서구 내당1동,"14,596","14,596","1,029","1,009","1,563","2,345","2,022","2,421","2,344","1,264",520,78,1,"7,165","7,165",525,519,789,"1,232","1,069","1,127","1,118",565,203,18,0,"7,431","7,431",504,490,774,"1,113",953,"1,294","1,226",699,317,60,1
대구광역시 서구 내당2.3동,"8,012","8,012",151,313,694,712,784,"1,474","1,812","1,358",634,79,1,"3,868","3,868",79,166,372,413,457,767,853,534,212,15,0,"4,144","4,144",72,147,322,299,327,707,959,824,422,64,1
대구광역시 서구 내당4동,"14,121","14,121",293,825,"1,524","1,579","1,569","2,417","2,944","1,994",824,148,4,"6,672","6,672",155,417,754,899,819,"1,133","1,294",863,309,29,0,"7,449","7,449",138,408,770,680,750,"1,284","1,650","1,131",515,119,4
대구광역시 서구 비산1동,"7,772","7,772",133,390,618,647,767,"1,509","1,816","1,286",540,66,0,"3,893","3,893",68,200,350,397,413,808,918,522,203,14,0,"3,879","3,879",65,190,268,250,354,701,898,764,337,52,0
대구광역시 서구 비산2.3동,"7,563","7,563",112,289,526,586,645,"1,310","1,865","1,369",748,111,2,"3,692","3,692",61,158,306,350,370,722,918,534,250,23,0,"3,871","3,871",51,131,220,236,275,588,947,835,498,88,2
대구광역시 서구 비산4동,"8,160","8,160",145,409,690,758,860,"1,465","1,927","1,273",560,72,1,"3,939","3,939",69,207,377,447,480,724,882,543,193,17,0,"4,221","4,221",76,202,313,311,380,741,"1,045",730,367,55,1
대구광역시 서구 비산5동,"4,729","4,729",86,172,319,360,446,805,"1,152",900,427,62,0,"2,384","2,384",46,84,174,218,259,469,599,373,152,10,0,"2,345","2,345",40,88,145,142,187,336,553,527,275,52,0
대구광역시 서구 비산6동,"6,307","6,307",109,263,538,518,593,"1,228","1,579",968,444,65,2,"3,062","3,062",49,139,310,305,307,626,729,423,149,24,1,"3,245","3,245",60,124,228,213,286,602,850,545,295,41,1
대구광역시 서구 비산7동,"8,987","8,987",278,430,797,943,936,"1,692","1,994","1,296",558,61,2,"4,730","4,730",147,205,450,547,516,963,"1,079",590,224,9,0,"4,257","4,257",131,225,347,396,420,729,915,706,334,52,2
대구광역시 서구 평리1동,"6,162","6,162",114,311,510,524,622,"1,107","1,462",982,464,63,3,"3,077","3,077",63,155,276,317,357,597,732,418,152,10,0,"3,085","3,085",51,156,234,207,265,510,730,564,312,53,3
